Учасників,Місце,Сума $,Відсоток (із 95%)
100,1,350.0,35.0
100,2,200.0,20.0
100,3,100.0,10.0
100,4,50.0,5.0
100,5,50.0,5.0
100,6,20.0,2.0
100,7,20.0,2.0
100,8,20.0,2.0
100,9,20.0,2.0
100,10,20.0,2.0
100,11,10.0,1.0
100,12,10.0,1.0
100,13,10.0,1.0
100,14,10.0,1.0
100,15,10.0,1.0
100,16,10.0,1.0
100,17,10.0,1.0
100,18,10.0,1.0
100,19,10.0,1.0
100,20,10.0,1.0
99,1,350.19,35.37
99,2,200.11,20.21
99,3,100.05,10.11
99,4,50.03,5.05
99,5,50.03,5.05
99,6,20.01,2.02
99,7,20.01,2.02
99,8,20.01,2.02
99,9,20.01,2.02
99,10,20.01,2.02
99,11,9.96,1.01
99,12,10.01,1.01
99,13,10.01,1.01
99,14,10.01,1.01
99,15,10.01,1.01
99,16,10.01,1.01
99,17,10.01,1.01
99,18,10.01,1.01
99,19,10.01,1.01
98,1,346.65,35.37
98,2,198.09,20.21
98,3,99.04,10.11
98,4,49.52,5.05
98,5,49.52,5.05
98,6,19.81,2.02
98,7,19.81,2.02
98,8,19.81,2.02
98,9,19.81,2.02
98,10,19.81,2.02
98,11,9.93,1.01
98,12,9.9,1.01
98,13,9.9,1.01
98,14,9.9,1.01
98,15,9.9,1.01
98,16,9.9,1.01
98,17,9.9,1.01
98,18,9.9,1.01
98,19,9.9,1.01
97,1,343.11,35.37
97,2,196.06,20.21
97,3,98.03,10.11
97,4,49.02,5.05
97,5,49.02,5.05
97,6,19.61,2.02
97,7,19.61,2.02
97,8,19.61,2.02
97,9,19.61,2.02
97,10,19.61,2.02
97,11,9.81,1.01
97,12,9.8,1.01
97,13,9.8,1.01
97,14,9.8,1.01
97,15,9.8,1.01
97,16,9.8,1.01
97,17,9.8,1.01
97,18,9.8,1.01
97,19,9.8,1.01
96,1,339.57,35.37
96,2,194.04,20.21
96,3,97.02,10.11
96,4,48.51,5.05
96,5,48.51,5.05
96,6,19.4,2.02
96,7,19.4,2.02
96,8,19.4,2.02
96,9,19.4,2.02
96,10,19.4,2.02
96,11,9.75,1.02
96,12,9.7,1.01
96,13,9.7,1.01
96,14,9.7,1.01
96,15,9.7,1.01
96,16,9.7,1.01
96,17,9.7,1.01
96,18,9.7,1.01
96,19,9.7,1.01
95,1,336.04,35.37
95,2,192.02,20.21
95,3,96.01,10.11
95,4,48.01,5.05
95,5,48.01,5.05
95,6,19.2,2.02
95,7,19.2,2.02
95,8,19.2,2.02
95,9,19.2,2.02
95,10,19.2,2.02
95,11,9.61,1.01
95,12,9.6,1.01
95,13,9.6,1.01
95,14,9.6,1.01
95,15,9.6,1.01
95,16,9.6,1.01
95,17,9.6,1.01
95,18,9.6,1.01
95,19,9.6,1.01
94,1,336.08,35.75
94,2,192.04,20.43
94,3,96.02,10.21
94,4,48.01,5.11
94,5,48.01,5.11
94,6,19.2,2.04
94,7,19.2,2.04
94,8,19.2,2.04
94,9,19.2,2.04
94,10,19.2,2.04
94,11,9.64,1.03
94,12,9.6,1.02
94,13,9.6,1.02
94,14,9.6,1.02
94,15,9.6,1.02
94,16,9.6,1.02
94,17,9.6,1.02
94,18,9.6,1.02
93,1,332.5,35.75
93,2,190.0,20.43
93,3,95.0,10.22
93,4,47.5,5.11
93,5,47.5,5.11
93,6,19.0,2.04
93,7,19.0,2.04
93,8,19.0,2.04
93,9,19.0,2.04
93,10,19.0,2.04
93,11,9.5,1.02
93,12,9.5,1.02
93,13,9.5,1.02
93,14,9.5,1.02
93,15,9.5,1.02
93,16,9.5,1.02
93,17,9.5,1.02
93,18,9.5,1.02
92,1,328.92,35.75
92,2,187.96,20.43
92,3,93.98,10.22
92,4,46.99,5.11
92,5,46.99,5.11
92,6,18.8,2.04
92,7,18.8,2.04
92,8,18.8,2.04
92,9,18.8,2.04
92,10,18.8,2.04
92,11,9.36,1.02
92,12,9.4,1.02
92,13,9.4,1.02
92,14,9.4,1.02
92,15,9.4,1.02
92,16,9.4,1.02
92,17,9.4,1.02
92,18,9.4,1.02
91,1,325.35,35.75
91,2,185.91,20.43
91,3,92.96,10.22
91,4,46.48,5.11
91,5,46.48,5.11
91,6,18.59,2.04
91,7,18.59,2.04
91,8,18.59,2.04
91,9,18.59,2.04
91,10,18.59,2.04
91,11,9.27,1.02
91,12,9.3,1.02
91,13,9.3,1.02
91,14,9.3,1.02
91,15,9.3,1.02
91,16,9.3,1.02
91,17,9.3,1.02
91,18,9.3,1.02
90,1,321.77,35.75
90,2,183.87,20.43
90,3,91.94,10.22
90,4,45.97,5.11
90,5,45.97,5.11
90,6,18.39,2.04
90,7,18.39,2.04
90,8,18.39,2.04
90,9,18.39,2.04
90,10,18.39,2.04
90,11,9.2,1.02
90,12,9.19,1.02
90,13,9.19,1.02
90,14,9.19,1.02
90,15,9.19,1.02
90,16,9.19,1.02
90,17,9.19,1.02
90,18,9.19,1.02
89,1,321.66,36.14
89,2,183.8,20.65
89,3,91.9,10.33
89,4,45.95,5.16
89,5,45.95,5.16
89,6,18.38,2.07
89,7,18.38,2.07
89,8,18.38,2.07
89,9,18.38,2.07
89,10,18.38,2.07
89,11,9.2,1.03
89,12,9.19,1.03
89,13,9.19,1.03
89,14,9.19,1.03
89,15,9.19,1.03
89,16,9.19,1.03
89,17,9.19,1.03
88,1,318.04,36.14
88,2,181.74,20.65
88,3,90.87,10.33
88,4,45.43,5.16
88,5,45.43,5.16
88,6,18.17,2.06
88,7,18.17,2.06
88,8,18.17,2.06
88,9,18.17,2.06
88,10,18.17,2.06
88,11,9.1,1.03
88,12,9.09,1.03
88,13,9.09,1.03
88,14,9.09,1.03
88,15,9.09,1.03
88,16,9.09,1.03
88,17,9.09,1.03
87,1,314.43,36.14
87,2,179.67,20.65
87,3,89.84,10.33
87,4,44.92,5.16
87,5,44.92,5.16
87,6,17.97,2.07
87,7,17.97,2.07
87,8,17.97,2.07
87,9,17.97,2.07
87,10,17.97,2.07
87,11,8.99,1.03
87,12,8.98,1.03
87,13,8.98,1.03
87,14,8.98,1.03
87,15,8.98,1.03
87,16,8.98,1.03
87,17,8.98,1.03
86,1,310.82,36.14
86,2,177.61,20.65
86,3,88.8,10.33
86,4,44.4,5.16
86,5,44.4,5.16
86,6,17.76,2.07
86,7,17.76,2.07
86,8,17.76,2.07
86,9,17.76,2.07
86,10,17.76,2.07
86,11,8.89,1.03
86,12,8.88,1.03
86,13,8.88,1.03
86,14,8.88,1.03
86,15,8.88,1.03
86,16,8.88,1.03
86,17,8.88,1.03
85,1,307.2,36.14
85,2,175.54,20.65
85,3,87.77,10.33
85,4,43.89,5.16
85,5,43.89,5.16
85,6,17.55,2.06
85,7,17.55,2.06
85,8,17.55,2.06
85,9,17.55,2.06
85,10,17.55,2.06
85,11,8.78,1.03
85,12,8.78,1.03
85,13,8.78,1.03
85,14,8.78,1.03
85,15,8.78,1.03
85,16,8.78,1.03
85,17,8.78,1.03
84,1,306.92,36.54
84,2,175.38,20.88
84,3,87.69,10.44
84,4,43.85,5.22
84,5,43.85,5.22
84,6,17.54,2.09
84,7,17.54,2.09
84,8,17.54,2.09
84,9,17.54,2.09
84,10,17.54,2.09
84,11,8.76,1.04
84,12,8.77,1.04
84,13,8.77,1.04
84,14,8.77,1.04
84,15,8.77,1.04
84,16,8.77,1.04
83,1,303.27,36.54
83,2,173.3,20.88
83,3,86.65,10.44
83,4,43.32,5.22
83,5,43.32,5.22
83,6,17.33,2.09
83,7,17.33,2.09
83,8,17.33,2.09
83,9,17.33,2.09
83,10,17.33,2.09
83,11,8.69,1.05
83,12,8.66,1.04
83,13,8.66,1.04
83,14,8.66,1.04
83,15,8.66,1.04
83,16,8.66,1.04
82,1,299.62,36.54
82,2,171.21,20.88
82,3,85.6,10.44
82,4,42.8,5.22
82,5,42.8,5.22
82,6,17.12,2.09
82,7,17.12,2.09
82,8,17.12,2.09
82,9,17.12,2.09
82,10,17.12,2.09
82,11,8.57,1.05
82,12,8.56,1.04
82,13,8.56,1.04
82,14,8.56,1.04
82,15,8.56,1.04
82,16,8.56,1.04
81,1,295.96,36.54
81,2,169.12,20.88
81,3,84.56,10.44
81,4,42.28,5.22
81,5,42.28,5.22
81,6,16.91,2.09
81,7,16.91,2.09
81,8,16.91,2.09
81,9,16.91,2.09
81,10,16.91,2.09
81,11,8.45,1.04
81,12,8.46,1.04
81,13,8.46,1.04
81,14,8.46,1.04
81,15,8.46,1.04
81,16,8.46,1.04
80,1,292.31,36.54
80,2,167.03,20.88
80,3,83.52,10.44
80,4,41.76,5.22
80,5,41.76,5.22
80,6,16.7,2.09
80,7,16.7,2.09
80,8,16.7,2.09
80,9,16.7,2.09
80,10,16.7,2.09
80,11,8.37,1.05
80,12,8.35,1.04
80,13,8.35,1.04
80,14,8.35,1.04
80,15,8.35,1.04
80,16,8.35,1.04
79,1,291.86,36.94
